c1 c2 lon1 lat1 lon2 lat2 cnt 
UK US  -2.000  54.000 -97.000  38.000   8 
CA US -95.000  60.000 -97.000  38.000   6 
DE US   9.000  51.000 -97.000  38.000   6 
PL US  20.000  52.000 -97.000  38.000   6 
IT US  12.833  42.833 -97.000  38.000   5 
DE CH   9.000  51.000   8.000  47.000   4 
RU US 100.000  60.000 -97.000  38.000   4 
HU US  20.000  47.000 -97.000  38.000   4 
GB UK  -2.000  54.000  -2.000  54.000   4 
PL CH  20.000  52.000   8.000  47.000   3 
FR US   2.000  46.000 -97.000  38.000   3 
DE SE   9.000  51.000  15.000  62.000   2 
NZ UK 174.000 -41.000  -2.000  54.000   2 
RU DE 100.000  60.000   9.000  51.000   2 
IE FR  -8.000  53.000   2.000  46.000   2 
DE UK   9.000  51.000  -2.000  54.000   2 
CZ US  15.500  49.750 -97.000  38.000   2 
UK GB  -2.000  54.000  -2.000  54.000   2 
ZA US  24.000 -29.000 -97.000  38.000   2 
PL DE  20.000  52.000   9.000  51.000   2 
AT DE  13.333  47.333   9.000  51.000   2 
PL FR  20.000  52.000   2.000  46.000   2 
AT US  13.333  47.333 -97.000  38.000   2 
AU UK 133.000 -27.000  -2.000  54.000   2 
NL US   5.750  52.500 -97.000  38.000   2 
CH IT   8.000  47.000  12.833  42.833   1 
US UK -97.000  38.000  -2.000  54.000   1 
FR CH   2.000  46.000   8.000  47.000   1 
US JM -97.000  38.000 -77.500  18.250   1 
AU RU 133.000 -27.000 100.000  60.000   1 
US ES -97.000  38.000  -4.000  40.000   1 
IT CH  12.833  42.833   8.000  47.000   1 
UA US  32.000  49.000 -97.000  38.000   1 
DK NO  10.000  56.000  10.000  62.000   1 
NZ US 174.000 -41.000 -97.000  38.000   1 
NL CH   5.750  52.500   8.000  47.000   1 
CZ AT  15.500  49.750  13.333  47.333   1 
IN US  77.000  20.000 -97.000  38.000   1 
RO US  25.000  46.000 -97.000  38.000   1 
DE RO   9.000  51.000  25.000  46.000   1 
IN UK  77.000  20.000  -2.000  54.000   1 
SI AT  15.000  46.000  13.333  47.333   1 
AT SE  13.333  47.333  15.000  62.000   1 
BE FR   4.000  50.833   2.000  46.000   1 
GT ES -90.250  15.500  -4.000  40.000   1 
DE CA   9.000  51.000 -95.000  60.000   1 
AU CH 133.000 -27.000   8.000  47.000   1 
ZW ZA  30.000 -20.000  24.000 -29.000   1 
CL US -71.000 -30.000 -97.000  38.000   1 
PT ES  -8.000  39.500  -4.000  40.000   1 
KR US 127.500  37.000 -97.000  38.000   1 
FR TN   2.000  46.000   9.000  34.000   1 
NO US  10.000  62.000 -97.000  38.000   1 
FR ES   2.000  46.000  -4.000  40.000   1 
RU BE 100.000  60.000   4.000  50.833   1 
BY IL  28.000  53.000  34.750  31.500   1 
FI SE  26.000  64.000  15.000  62.000   1 
PL UK  20.000  52.000  -2.000  54.000   1 
VE US -66.000   8.000 -97.000  38.000   1 
UK FR  -2.000  54.000   2.000  46.000   1 
IE UK  -8.000  53.000  -2.000  54.000   1 
EG UK  30.000  27.000  -2.000  54.000   1 
SK DE  19.500  48.667   9.000  51.000   1 
HU UK  20.000  47.000  -2.000  54.000   1 
FR GA   2.000  46.000  11.750  -1.000   1 
PK US  70.000  30.000 -97.000  38.000   1 
BE CH   4.000  50.833   8.000  47.000   1 
ID NL 120.000  -5.000   5.750  52.500   1 
PK UK  70.000  30.000  -2.000  54.000   1 
NO FR  10.000  62.000   2.000  46.000   1 
US NO -97.000  38.000  10.000  62.000   1 
AZ RU  47.500  40.500 100.000  60.000   1 
CH FR   8.000  47.000   2.000  46.000   1 
LC BB -61.133  13.883 -59.533  13.167   1 
CN US 105.000  35.000 -97.000  38.000   1 
UK AU  -2.000  54.000 133.000 -27.000   1 
DK DE  10.000  56.000   9.000  51.000   1 
UK IT  -2.000  54.000  12.833  42.833   1 
SE ZM  15.000  62.000  30.000 -15.000   1 
BA CH  18.000  44.000   8.000  47.000   1 
RU CH 100.000  60.000   8.000  47.000   1 
BR UK -55.000 -10.000  -2.000  54.000   1 
UA IL  32.000  49.000  34.750  31.500   1 
LT PL  24.000  56.000  20.000  52.000   1 
FR AR   2.000  46.000 -64.000 -34.000   1 
NL DE   5.750  52.500   9.000  51.000   1 
HR CH  15.500  45.167   8.000  47.000   1 
PL AR  20.000  52.000 -64.000 -34.000   1 
UK BE  -2.000  54.000   4.000  50.833   1 
AT CH  13.333  47.333   8.000  47.000   1 
UA FR  32.000  49.000   2.000  46.000   1 
BY US  28.000  53.000 -97.000  38.000   1 
BG CH  25.000  43.000   8.000  47.000   1 
RU FR 100.000  60.000   2.000  46.000   1 
AR UK -64.000 -34.000  -2.000  54.000   1 
TR GR  35.000  39.000  22.000  39.000   1 
ES PR  -4.000  40.000 -66.500  18.250   1 
DE IE   9.000  51.000  -8.000  53.000   1 
US IT -97.000  38.000  12.833  42.833   1 
UK CA  -2.000  54.000 -95.000  60.000   1 
DE PL   9.000  51.000  20.000  52.000   1 
AT UK  13.333  47.333  -2.000  54.000   1 
DZ FR   3.000  28.000   2.000  46.000   1 
MG FR  47.000 -20.000   2.000  46.000   1 
GP FR -61.583  16.250   2.000  46.000   1 
NL UK   5.750  52.500  -2.000  54.000   1 
FR IE   2.000  46.000  -8.000  53.000   1 
