c1 lon1 lat1 cnt 
US -97.000  38.000 242 
UK  -2.000  54.000  67
FR   2.000  46.000  43 
DE   9.000  51.000  38 
SE  15.000  62.000  27 
JP 138.000  36.000  18 
RU 100.000  60.000  15 
CH   8.000  47.000  14 
IT  12.833  42.833  14 
NL   5.750  52.500  12 
CA -95.000  60.000  10 
DK  10.000  56.000   9 
CN 105.000  35.000   9 
NO  10.000  62.000   8 
AT  13.333  47.333   8 
PL  20.000  52.000   7 
ZA  24.000 -29.000   7 
BE   4.000  50.833   6 
AU 133.000 -27.000   6 
IE  -8.000  53.000   6 
ES  -4.000  40.000   6 
IL  34.750  31.500   6 
EG  30.000  27.000   4 
IN  77.000  20.000   4 
HU  20.000  47.000   3 
CZ  15.500  49.750   3 
AR -64.000 -34.000   3 
FI  26.000  64.000   2 
BY  28.000  53.000   2 
TL 125.837  -8.834   2 
LT  24.000  56.000   2 
RO  25.000  46.000   2 
IR  53.000  32.000   2 
MX -102.000  23.000   2 
BD  90.000  24.000   1 
GT -90.250  15.500   1 
DZ   3.000  28.000   1 
IS -18.000  65.000   1 
LC -61.133  13.883   1 
PT  -8.000  39.500   1 
TW 121.000  23.500   1 
TT -61.000  11.000   1 
TR  35.000  39.000   1 
NG   8.000  10.000   1 
LU   6.167  49.750   1 
LR  -9.500   6.500   1 
PE -76.000 -10.000   1 
CO -72.000   4.000   1 
GR  22.000  39.000   1 
CL -71.000 -30.000   1 
YE  48.000  15.000   1 
CY  33.000  35.000   1 
CR -84.000  10.000   1 
GH  -2.000   8.000   1 
KE  38.000   1.000   1 
